Mpio,Id,Pr,N,P,S,Ca,Mg,K,Fe,Mn,Cu,Zn,B
Arboletes,112,7.28,2.68,0.24,0.1,0.99,0.39,4.16,102,189,7,19,35
Arboletes,113,13.18,2.9,0.24,0.16,0.66,0.41,3.32,92,206,9,18,18
Arboletes,114,9.49,2.62,0.23,0.18,0.7,0.42,3.73,82,143,9,19,38
Mutatá,121,5.49,2.55,0.16,0.16,0.51,0.38,3.66,78,496,7,21,34
Mutatá,122,5.08,2.22,0.2,0.13,0.62,0.38,3.39,89,410,8,18,23
Mutatá,123,9.00,3.12,0.22,0.14,0.82,0.39,3.15,96,222,10,17,21
Mutatá,124,8.06,3.37,0.17,0.15,0.86,0.42,2.98,81,258,9,16,23
Necoclí,131,13.09,2.97,0.17,0.06,0.88,0.34,3.3,137,324,7,16,25
Necoclí,132,7.75,3.31,0.19,0.12,0.87,0.36,3.69,94,428,8,17,39
Necoclí,133,7.23,3.57,0.17,0.1,0.71,0.33,4.21,88,509,6,19,26
Necoclí,134,7.25,3.07,0.17,0.09,1,0.39,3.72,231,326,9,20,23
Necoclí,135,9.87,2.88,0.17,0.09,0.72,0.35,4.02,75,254,6,18,30
San Juan,141,15.38,2.7,0.2,0.14,0.94,0.29,3.72,58,134,7,17,25
San Juan,142,10.80,2.34,0.15,0.07,0.99,0.4,2.92,127,457,5,16,21
San Juan,143,15.73,3.27,0.19,0.07,1.02,0.26,3.56,81,450,6,17,35
San Juan,144,11.22,2.54,0.16,0.07,1.33,0.3,3.22,64,274,5,16,33
San Juan,145,10.94,2.68,0.13,0.06,0.95,0.46,2.65,81,864,6,15,17
San Pedro,151,9.31,2.79,0.18,0.13,0.64,0.45,2.89,96,248,10,18,29
San Pedro,153,11.35,2.97,0.2,0.18,0.84,0.44,3.69,114,279,10,21,28
San Pedro,154,11.70,3.72,0.19,0.13,0.79,0.43,3.11,86,197,10,18,32
Turbo,161,11.20,2.76,0.16,0.13,0.7,0.37,2.94,72,260,8,23,12
Turbo,162,11.62,2.73,0.13,0.13,0.71,0.38,3.1,73,131,11,26,15
Turbo,163,20.50,2.14,0.13,0.12,0.51,0.29,3.8,78,122,7,27,13
Turbo,164,9.77,2.61,0.17,0.12,0.73,0.4,3.25,73,105,8,23,12
Turbo,165,10.54,2.29,0.17,0.17,0.71,0.39,3.41,89,276,9,20,20
