,Mpio,Id,Pr,N,P,S,Ca,Mg,K,Fe,Mn,Cu,Zn,B,N:P,N:K,N:Mg,N:S,P:N,P:K,P:Mg,P:S,K:N,K:P,K:Mg,K:S,Mg:N,Mg:P,Mg:K,Mg:S,S:N,S:P,S:K,S:Mg,Ca:Fe,Ca:Mn,Ca:Cu,Ca:Zn,Ca:B,Fe:Ca,Fe:Mn,Fe:Cu,Fe:Zn,Fe:B,Mn:Ca,Mn:Fe,Mn:Cu,Mn:Zn,Mn:B,Cu:Ca,Cu:Fe,Cu:Mn,Cu:Zn,Cu:B,Zn:Ca,Zn:Fe,Zn:Mn,Zn:Cu,Zn:B,B:Ca,B:Fe,B:Mn,B:Cu,B:Zn,N:Ca,N:Fe,N:Mn,N:Cu,N:Zn,N:B,P:Ca,P:Fe,P:Mn,P:Cu,P:Zn,P:B,K:Ca,K:Fe,K:Mn,K:Cu,K:Zn,K:B,Mg:Ca,Mg:Fe,Mg:Mn,Mg:Cu,Mg:Zn,Mg:B,S:Ca,S:Fe,S:Mn,S:Cu,S:Zn,S:B
0,Arboletes,112,7.28,2.68,0.24,0.1,0.99,0.39,4.16,102,189,7,19,35,11.167,0.644,6.872,26.8,0.09,0.058,0.615,2.4,1.552,17.333,10.667,41.6,0.146,1.625,0.094,3.9,0.037,0.417,0.024,0.256,0.01,0.005,0.141,0.052,0.028,103.03,0.54,14.571,5.368,2.914,190.909,1.853,27.0,9.947,5.4,7.071,0.069,0.037,0.368,0.2,19.192,0.186,0.101,2.714,0.543,35.354,0.343,0.185,5.0,1.842,2.653,273.36,506.52,18.76,50.92,93.8,0.238,24.48,45.36,1.68,4.56,8.4,4.118,424.32,786.24,29.12,79.04,145.6,0.386,39.78,73.71,2.73,7.41,13.65,0.099,10.2,18.9,0.7,1.9,3.5
1,Arboletes,113,13.18,2.9,0.24,0.16,0.66,0.41,3.32,92,206,9,18,18,12.083,0.873,7.073,18.125,0.083,0.072,0.585,1.5,1.145,13.833,8.098,20.75,0.141,1.708,0.123,2.562,0.055,0.667,0.048,0.39,0.007,0.003,0.073,0.037,0.037,139.394,0.447,10.222,5.111,5.111,312.121,2.239,22.889,11.444,11.444,13.636,0.098,0.044,0.5,0.5,27.273,0.196,0.087,2.0,1.0,27.273,0.196,0.087,2.0,1.0,1.914,266.8,597.4,26.1,52.2,52.2,0.158,22.08,49.44,2.16,4.32,4.32,2.191,305.44,683.92,29.88,59.76,59.76,0.271,37.72,84.46,3.69,7.38,7.38,0.106,14.72,32.96,1.44,2.88,2.88
2,Arboletes,114,9.49,2.62,0.23,0.18,0.7,0.42,3.73,82,143,9,19,38,11.391,0.702,6.238,14.556,0.088,0.062,0.548,1.278,1.424,16.217,8.881,20.722,0.16,1.826,0.113,2.333,0.069,0.783,0.048,0.429,0.009,0.005,0.078,0.037,0.018,117.143,0.573,9.111,4.316,2.158,204.286,1.744,15.889,7.526,3.763,12.857,0.11,0.063,0.474,0.237,27.143,0.232,0.133,2.111,0.5,54.286,0.463,0.266,4.222,2.0,1.834,214.84,374.66,23.58,49.78,99.56,0.161,18.86,32.89,2.07,4.37,8.74,2.611,305.86,533.39,33.57,70.87,141.74,0.294,34.44,60.06,3.78,7.98,15.96,0.126,14.76,25.74,1.62,3.42,6.84
3,Mutatá,121,5.49,2.55,0.16,0.16,0.51,0.38,3.66,78,496,7,21,34,15.937,0.697,6.711,15.937,0.063,0.044,0.421,1.0,1.435,22.875,9.632,22.875,0.149,2.375,0.104,2.375,0.063,1.0,0.044,0.421,0.007,0.001,0.073,0.024,0.015,152.941,0.157,11.143,3.714,2.294,972.549,6.359,70.857,23.619,14.588,13.725,0.09,0.014,0.333,0.206,41.176,0.269,0.042,3.0,0.618,66.667,0.436,0.069,4.857,1.619,1.3,198.9,1264.8,17.85,53.55,86.7,0.082,12.48,79.36,1.12,3.36,5.44,1.867,285.48,1815.36,25.62,76.86,124.44,0.194,29.64,188.48,2.66,7.98,12.92,0.082,12.48,79.36,1.12,3.36,5.44
4,Mutatá,122,5.08,2.22,0.2,0.13,0.62,0.38,3.39,89,410,8,18,23,11.1,0.655,5.842,17.077,0.09,0.059,0.526,1.538,1.527,16.95,8.921,26.077,0.171,1.9,0.112,2.923,0.059,0.65,0.038,0.342,0.007,0.002,0.078,0.034,0.027,143.548,0.217,11.125,4.944,3.87,661.29,4.607,51.25,22.778,17.826,12.903,0.09,0.02,0.444,0.348,29.032,0.202,0.044,2.25,0.783,37.097,0.258,0.056,2.875,1.278,1.376,197.58,910.2,17.76,39.96,51.06,0.124,17.8,82.0,1.6,3.6,4.6,2.102,301.71,1389.9,27.12,61.02,77.97,0.236,33.82,155.8,3.04,6.84,8.74,0.081,11.57,53.3,1.04,2.34,2.99
5,Mutatá,123,9.0,3.12,0.22,0.14,0.82,0.39,3.15,96,222,10,17,21,14.182,0.99,8.0,22.286,0.071,0.07,0.564,1.571,1.01,14.318,8.077,22.5,0.125,1.773,0.124,2.786,0.045,0.636,0.044,0.359,0.009,0.004,0.082,0.048,0.039,117.073,0.432,9.6,5.647,4.571,270.732,2.312,22.2,13.059,10.571,12.195,0.104,0.045,0.588,0.476,20.732,0.177,0.077,1.7,0.81,25.61,0.219,0.095,2.1,1.235,2.558,299.52,692.64,31.2,53.04,65.52,0.18,21.12,48.84,2.2,3.74,4.62,2.583,302.4,699.3,31.5,53.55,66.15,0.32,37.44,86.58,3.9,6.63,8.19,0.115,13.44,31.08,1.4,2.38,2.94
6,Mutatá,124,8.06,3.37,0.17,0.15,0.86,0.42,2.98,81,258,9,16,23,19.824,1.131,8.024,22.467,0.05,0.057,0.405,1.133,0.884,17.529,7.095,19.867,0.125,2.471,0.141,2.8,0.045,0.882,0.05,0.357,0.011,0.003,0.096,0.054,0.037,94.186,0.314,9.0,5.062,3.522,300.0,3.185,28.667,16.125,11.217,10.465,0.111,0.035,0.562,0.391,18.605,0.198,0.062,1.778,0.696,26.744,0.284,0.089,2.556,1.438,2.898,272.97,869.46,30.33,53.92,77.51,0.146,13.77,43.86,1.53,2.72,3.91,2.563,241.38,768.84,26.82,47.68,68.54,0.361,34.02,108.36,3.78,6.72,9.66,0.129,12.15,38.7,1.35,2.4,3.45
7,Necoclí,131,13.09,2.97,0.17,0.06,0.88,0.34,3.3,137,324,7,16,25,17.471,0.9,8.735,49.5,0.057,0.052,0.5,2.833,1.111,19.412,9.706,55.0,0.114,2.0,0.103,5.667,0.02,0.353,0.018,0.176,0.006,0.003,0.126,0.055,0.035,155.682,0.423,19.571,8.562,5.48,368.182,2.365,46.286,20.25,12.96,7.955,0.051,0.022,0.438,0.28,18.182,0.117,0.049,2.286,0.64,28.409,0.182,0.077,3.571,1.562,2.614,406.89,962.28,20.79,47.52,74.25,0.15,23.29,55.08,1.19,2.72,4.25,2.904,452.1,1069.2,23.1,52.8,82.5,0.299,46.58,110.16,2.38,5.44,8.5,0.053,8.22,19.44,0.42,0.96,1.5
8,Necoclí,132,7.75,3.31,0.19,0.12,0.87,0.36,3.69,94,428,8,17,39,17.421,0.897,9.194,27.583,0.057,0.051,0.528,1.583,1.115,19.421,10.25,30.75,0.109,1.895,0.098,3.0,0.036,0.632,0.033,0.333,0.009,0.002,0.109,0.051,0.022,108.046,0.22,11.75,5.529,2.41,491.954,4.553,53.5,25.176,10.974,9.195,0.085,0.019,0.471,0.205,19.54,0.181,0.04,2.125,0.436,44.828,0.415,0.091,4.875,2.294,2.88,311.14,1416.68,26.48,56.27,129.09,0.165,17.86,81.32,1.52,3.23,7.41,3.21,346.86,1579.32,29.52,62.73,143.91,0.313,33.84,154.08,2.88,6.12,14.04,0.104,11.28,51.36,0.96,2.04,4.68
9,Necoclí,133,7.23,3.57,0.17,0.1,0.71,0.33,4.21,88,509,6,19,26,21.0,0.848,10.818,35.7,0.048,0.04,0.515,1.7,1.179,24.765,12.758,42.1,0.092,1.941,0.078,3.3,0.028,0.588,0.024,0.303,0.008,0.001,0.118,0.037,0.027,123.944,0.173,14.667,4.632,3.385,716.901,5.784,84.833,26.789,19.577,8.451,0.068,0.012,0.316,0.231,26.761,0.216,0.037,3.167,0.731,36.62,0.295,0.051,4.333,1.368,2.535,314.16,1817.13,21.42,67.83,92.82,0.121,14.96,86.53,1.02,3.23,4.42,2.989,370.48,2142.89,25.26,79.99,109.46,0.234,29.04,167.97,1.98,6.27,8.58,0.071,8.8,50.9,0.6,1.9,2.6
